x (m)		I/Io		mu_T
1.372		0.24002		0.767297
1.374		0.23968		1.94375
1.376		0.23925		0.703063
1.378		0.2389		0.631003
1.38		0.23847		0.703063
1.382		0.23807		2.79876
1.384		0.23764		1.10979
1.386		0.2372		1.06795
1.388		0.23689		4.45049
1.39		0.23646		0.522237
1.392		0.23613		0.5387
1.394		0.23571		1.62123
1.396		0.23533		0.652324
1.398		0.23486		0.594298
1.4		0.23449		1.31868
1.402		0.23415		0.641259
1.404		0.23365		1.53405
1.406		0.23309		4.45049
1.408		0.23273		0.586201
1.41		0.23234		1.53405
1.412		0.23198		0.652324
1.414		0.23161		0.850423
1.416		0.23115		1.384
1.418		0.23064		0.4661
1.42		0.2303		1.94375
1.422		0.22989		0.850423
1.424		0.22945		3.32504
1.426		0.22915		6.24525
1.428		0.22881		3.64621
1.43		0.22846		0.767297
1.432		0.22808		3.04436
1.434		0.22767		3.32504
1.436		0.22729		0.586201
1.438		0.22701		0.767297
1.44		0.22655		0.874983
1.442		0.22621		1.02936
1.444		0.22579		0.78619
1.446		0.22549		0.78619
1.448		0.22498		3.64621
1.45		0.22469		0.621017
1.452		0.2244		0.806161
1.454		0.22414		0.874983
1.456		0.22384		2.22659
1.458		0.22352		0.5638
1.46		0.22306		0.960539
1.462		0.22267		9.28961
1.464		0.22235		1.31868
1.466		0.22198		4.01866
1.468		0.2216		0.689299
1.47		0.22129		0.749754
1.472		0.22095		1.94375
1.474		0.22043		0.578374
1.476		0.21994		8.07781
1.478		0.21947		1.94375
1.48		0.21903		2.07707
1.482		0.21853		0.767297
1.484		0.21811		0.5638
1.486		0.21781		0.901433
1.488		0.21743		0.499027
1.49		0.21715		0.850423
1.492		0.21686		1.82446
1.494		0.21653		1.25958
1.496		0.21609		1.82446
1.498		0.21576		2.79876
1.5		0.21542		0.827483
1.502		0.21499		0.993465
1.504		0.21459		0.621017
1.506		0.21423		0.512521
1.508		0.21393		1.94375
1.51		0.21357		1.10979
1.512		0.21308		0.602664
1.514		0.21279		0.767297
1.516		0.21249		1.384
1.518		0.21219		0.571087
1.52		0.21182		0.462861
1.522		0.21162		0.594298
1.524		0.21131		0.544638
1.526		0.21106		0.930041
1.528		0.21058		0.960539
1.53		0.21022		0.749754
1.532		0.20983		1.82446
1.534		0.20952		0.503345
1.536		0.20913		3.32504
1.538		0.20873		0.827483
1.54		0.20837		1.53405
1.542		0.20797		0.571087
1.544		0.20759		1.20533
1.546		0.20725		2.79876
1.548		0.20691		0.78619
1.55		0.20665		0.749754
1.552		0.20627		0.806161
1.554		0.20595		1.94375
1.556		0.20562		0.78619
1.558		0.20535		0.652324
1.56		0.20494		0.993465
1.562		0.20457		0.448827
1.564		0.2042		2.58447
1.566		0.20384		1.82446
1.568		0.20352		1.02936
1.57		0.20315		0.993465
1.572		0.20283		0.850423
1.574		0.20254		0.806161
1.576		0.2022		0.621017
1.578		0.20197		1.82446
1.58		0.2016		0.733291
1.582		0.20137		1.53405
1.584		0.20104		0.476086
1.586		0.20068		0.733291
1.588		0.20039		2.58447
1.59		0.20008		0.641259
1.592		0.19967		1.31868
1.594		0.19938		0.960539
1.596		0.19902		1.31868
1.598		0.19879		0.767297
1.6		0.19852		0.901433
1.602		0.19808		0.611571
1.604		0.19775		0.703063
1.606		0.19742		2.22659
1.608		0.19718		0.483103
1.61		0.19678		0.874983
1.612		0.1965		0.631003
1.614		0.19627		1.31868
1.616		0.19599		2.07707
1.618		0.19579		2.07707
1.62		0.19556		0.960539
1.622		0.19529		2.58447
1.624		0.19509		0.767297
1.626		0.19477		0.874983
1.628		0.19442		1.71758
1.63		0.19416		2.07707
1.632		0.19384		3.04436
1.634		0.19349		0.533033
1.636		0.19317		0.717638
1.638		0.19286		0.850423
1.64		0.19252		0.517379
1.642		0.19233		1.94375
1.644		0.19199		9.28961
1.646		0.19173		3.64621
1.648		0.19137		4.95518
1.65		0.19105		9.28961
1.652		0.19078		0.446128
1.654		0.19052		1.384
1.656		0.19017		1.10979
1.658		0.18996		0.652324
1.66		0.18968		2.79876
1.662		0.18936		0.960539
1.664		0.18913		1.384
1.666		0.18886		0.993465
1.668		0.18857		0.874983
1.67		0.18819		0.703063
1.672		0.18788		1.31868
1.674		0.18757		0.78619
1.676		0.18733		1.384
1.678		0.18704		0.78619
1.68		0.18669		0.527635
1.682		0.18644		0.717638
1.684		0.18604		0.749754
1.686		0.18568		0.749754
1.688		0.18549		0.930041
1.69		0.1852		1.82446
1.692		0.18494		1.384
1.694		0.18464		0.611571
1.696		0.18436		1.53405
1.698		0.18406		2.22659
1.7		0.1838		0.652324
1.702		0.18356		1.45525
1.704		0.18318		0.507663
1.706		0.18285		1.53405
1.708		0.18261		0.850423
1.71		0.18233		1.62123
1.712		0.18207		0.479595
1.714		0.18173		2.22659
1.716		0.18142		1.94375
1.718		0.18125		0.459893
1.72		0.18102		1.06795
1.722		0.1807		0.550845
1.724		0.1804		0.767297
1.726		0.18025		1.71758
1.728		0.17995		1.45525
1.73		0.17964		4.95518
1.732		0.17937		4.95518
1.734		0.17907		1.1554
1.736		0.17874		1.31868
1.738		0.17846		0.827483
1.74		0.17827		0.78619
1.742		0.17796		1.31868
1.744		0.17771		0.517379
1.746		0.17744		3.32504
1.748		0.17723		1.82446
1.75		0.17693		3.32504
1.752		0.17662		3.32504
1.754		0.17637		0.930041
1.756		0.1761		0.703063
1.758		0.17582		2.22659
1.76		0.17553		1.20533
1.762		0.17528		1.06795
1.764		0.17507		0.749754
1.766		0.17483		2.39473
1.768		0.17462		0.443699
1.77		0.17432		0.476086
1.772		0.17398		0.78619
1.774		0.17374		0.960539
1.776		0.17353		5.54624
1.778		0.17324		1.94375
1.78		0.17301		0.767297
1.782		0.17274		1.02936
1.784		0.17255		1.94375
1.786		0.17231		0.631003
1.788		0.17194		1.62123
1.79		0.17164		1.06795
1.792		0.17142		2.58447
1.794		0.1712		0.499027
1.796		0.17086		0.507663
1.798		0.1706		8.07781
1.8		0.17033		1.10979
1.802		0.16999		0.767297
1.804		0.1697		1.384
1.806		0.16935		0.476086
1.808		0.16911		0.901433
1.81		0.1688		2.39473
1.812		0.16854		1.71758
1.814		0.16825		3.64621
1.816		0.16801		2.22659
1.818		0.16774		2.07707
1.82		0.16744		2.22659
1.822		0.1672		0.767297
1.824		0.16698		0.78619
1.826		0.16671		1.10979
1.828		0.16646		0.652324
1.83		0.16626		0.993465
1.832		0.16605		3.64621
1.834		0.16581		1.94375
1.836		0.16564		3.32504
1.838		0.16547		3.64621
1.84		0.16518		0.827483
1.842		0.16496		1.62123
1.844		0.16469		0.901433
1.846		0.16441		0.960539
1.848		0.16419		0.993465
1.85		0.16396		2.07707
1.852		0.16378		2.79876
1.854		0.16345		0.901433
1.856		0.16317		0.901433
1.858		0.16289		1.02936
1.86		0.16265		0.827483
1.862		0.16246		4.01866
1.864		0.16214		2.22659
1.866		0.16183		2.39473
1.868		0.16158		0.767297
1.87		0.16136		0.901433
1.872		0.16113		0.578374
1.874		0.16094		0.78619
1.876		0.16069		0.533033
1.878		0.16036		0.533033
1.88		0.16003		0.586201
1.882		0.15986		1.20533
1.884		0.15969		0.557053
1.886		0.15943		1.94375
1.888		0.15923		0.631003
1.89		0.15907		0.850423
1.892		0.15884		0.676344
1.894		0.15864		0.631003
1.896		0.15845		0.469339
1.898		0.15823		1.25958
1.9		0.15808		0.717638
1.902		0.15778		4.45049
1.904		0.15762		0.78619
1.906		0.15738		0.78619
1.908		0.15712		0.717638
1.91		0.15683		0.663929
1.912		0.1566		0.631003
1.914		0.15638		1.62123
1.916		0.15616		3.04436
1.918		0.15585		3.32504
1.92		0.15553		1.10979
1.922		0.15534		0.611571
1.924		0.1551		0.960539
1.926		0.15486		0.652324
1.928		0.15461		1.71758
1.93		0.15436		3.04436
1.932		0.15413		0.78619
1.934		0.15393		0.960539
1.936		0.1537		3.04436
1.938		0.15347		0.641259
1.94		0.15325		0.522237
1.942		0.15304		0.652324
1.944		0.15283		0.652324
1.946		0.15257		3.32504
1.948		0.1524		0.993465
1.95		0.15211		0.850423
1.952		0.15184		0.767297
1.954		0.15167		0.960539
1.956		0.15141		8.07781
1.958		0.15114		0.767297
1.96		0.1509		0.557053
1.962		0.15068		1.06795
1.964		0.1505		0.689299
1.966		0.15029		1.82446
1.968		0.15003		0.652324
1.97		0.14981		0.533033
1.972		0.14959		3.64621
1.974		0.14932		0.631003
1.976		0.14907		1.384
1.978		0.1488		0.5638
1.98		0.14852		3.04436
1.982		0.14827		1.82446
1.984		0.14805		1.53405
1.986		0.14789		2.07707
1.988		0.1477		0.550845
1.99		0.14748		0.611571
1.992		0.14727		0.960539
